CV,Precision,Recall,F1_score,Accuracy,Mcc,Loss
1,0.03791666775941849,0.03791666775941849,0.037916626781225204,0.037974681705236435,-0.15449997782707214,115.40784454345703
2,0.8004310727119446,0.8004310727119446,0.800430953502655,0.8025477528572083,0.7671695351600647,12.917675971984863
3,0.84375,0.84375,0.8437499403953552,0.8467742204666138,0.8177083134651184,19.528379440307617
4,0.0062500000931322575,0.0062500000931322575,0.006249989382922649,0.007407407276332378,-0.15937501192092896,46.32725143432617
5,0.7775000333786011,0.7775000333786011,0.7774999737739563,0.7837837934494019,0.7404167056083679,52.0345344543457
6,0.8125,0.8125,0.8124998807907104,0.7674418687820435,0.78125,26.112455368041992
7,0.824305534362793,0.824305534362793,0.824305534362793,0.8321167826652527,0.7950231432914734,39.22919845581055
8,0.643750011920929,0.643750011920929,0.6437499523162842,0.7984496355056763,0.5843750238418579,46.51935577392578
9,0.7841911911964417,0.7841911911964417,0.7841911315917969,0.7862069010734558,0.7482230067253113,48.21267318725586
10,0.8500000238418579,0.8500000238418579,0.8499999046325684,0.8552631735801697,0.824999988079071,11.933772087097168
