label,f1-score,precision,recall
Session3_epoch:4_TOTAL,0.8409266409266409,0.7954711468224982,0.8918918918918919
Session3_epoch:4_neutral,0.9428571428571428,0.8918918918918919,1.0
Session3_epoch:4_happy,0.0,0.0,0.0
Session3_epoch:4_angry,0.0,0.0,0.0
Session3_epoch:4_surprise,0.0,0.0,0.0
Session3_epoch:4_disqust,0.0,0.0,0.0
Session3_epoch:4_sad,0.0,0.0,0.0
Session3_epoch:5_TOTAL,0.8409266409266409,0.7954711468224982,0.8918918918918919
Session3_epoch:5_neutral,0.9428571428571428,0.8918918918918919,1.0
Session3_epoch:5_happy,0.0,0.0,0.0
Session3_epoch:5_angry,0.0,0.0,0.0
Session3_epoch:5_surprise,0.0,0.0,0.0
Session3_epoch:5_disqust,0.0,0.0,0.0
Session3_epoch:5_sad,0.0,0.0,0.0
Session3_epoch:6_TOTAL,0.8409266409266409,0.7954711468224982,0.8918918918918919
Session3_epoch:6_neutral,0.9428571428571428,0.8918918918918919,1.0
Session3_epoch:6_happy,0.0,0.0,0.0
Session3_epoch:6_angry,0.0,0.0,0.0
Session3_epoch:6_surprise,0.0,0.0,0.0
Session3_epoch:6_disqust,0.0,0.0,0.0
Session3_epoch:6_sad,0.0,0.0,0.0
Session3_epoch:7_TOTAL,0.8409266409266409,0.7954711468224982,0.8918918918918919
Session3_epoch:7_neutral,0.9428571428571428,0.8918918918918919,1.0
Session3_epoch:7_happy,0.0,0.0,0.0
Session3_epoch:7_angry,0.0,0.0,0.0
Session3_epoch:7_surprise,0.0,0.0,0.0
Session3_epoch:7_disqust,0.0,0.0,0.0
Session3_epoch:7_sad,0.0,0.0,0.0
Session3_epoch:8_TOTAL,0.8409266409266409,0.7954711468224982,0.8918918918918919
Session3_epoch:8_neutral,0.9428571428571428,0.8918918918918919,1.0
Session3_epoch:8_happy,0.0,0.0,0.0
Session3_epoch:8_angry,0.0,0.0,0.0
Session3_epoch:8_surprise,0.0,0.0,0.0
Session3_epoch:8_disqust,0.0,0.0,0.0
Session3_epoch:8_sad,0.0,0.0,0.0
Session3_epoch:9_TOTAL,0.8409266409266409,0.7954711468224982,0.8918918918918919
Session3_epoch:9_neutral,0.9428571428571428,0.8918918918918919,1.0
Session3_epoch:9_happy,0.0,0.0,0.0
Session3_epoch:9_angry,0.0,0.0,0.0
Session3_epoch:9_surprise,0.0,0.0,0.0
Session3_epoch:9_disqust,0.0,0.0,0.0
Session3_epoch:9_sad,0.0,0.0,0.0
Session3_epoch:10_TOTAL,0.8409266409266409,0.7954711468224982,0.8918918918918919
Session3_epoch:10_neutral,0.9428571428571428,0.8918918918918919,1.0
Session3_epoch:10_happy,0.0,0.0,0.0
Session3_epoch:10_angry,0.0,0.0,0.0
Session3_epoch:10_surprise,0.0,0.0,0.0
Session3_epoch:10_disqust,0.0,0.0,0.0
Session3_epoch:10_sad,0.0,0.0,0.0
Session4_epoch:1_TOTAL,0.6574898785425101,0.5935672514619883,0.7368421052631579
Session4_epoch:1_neutral,0.8615384615384615,0.7777777777777778,0.9655172413793104
Session4_epoch:1_happy,0.0,0.0,0.0
Session4_epoch:1_angry,0.0,0.0,0.0
Session4_epoch:1_surprise,0.0,0.0,0.0
Session4_epoch:1_disqust,0.0,0.0,0.0
Session4_epoch:1_sad,0.0,0.0,0.0
Session4_epoch:2_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:2_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:2_happy,0.0,0.0,0.0
Session4_epoch:2_angry,0.0,0.0,0.0
Session4_epoch:2_surprise,0.0,0.0,0.0
Session4_epoch:2_disqust,0.0,0.0,0.0
Session4_epoch:2_sad,0.0,0.0,0.0
Session4_epoch:3_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:3_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:3_happy,0.0,0.0,0.0
Session4_epoch:3_angry,0.0,0.0,0.0
Session4_epoch:3_surprise,0.0,0.0,0.0
Session4_epoch:3_disqust,0.0,0.0,0.0
Session4_epoch:3_sad,0.0,0.0,0.0
Session4_epoch:4_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:4_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:4_happy,0.0,0.0,0.0
Session4_epoch:4_angry,0.0,0.0,0.0
Session4_epoch:4_surprise,0.0,0.0,0.0
Session4_epoch:4_disqust,0.0,0.0,0.0
Session4_epoch:4_sad,0.0,0.0,0.0
Session4_epoch:5_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:5_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:5_happy,0.0,0.0,0.0
Session4_epoch:5_angry,0.0,0.0,0.0
Session4_epoch:5_surprise,0.0,0.0,0.0
Session4_epoch:5_disqust,0.0,0.0,0.0
Session4_epoch:5_sad,0.0,0.0,0.0
Session4_epoch:6_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:6_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:6_happy,0.0,0.0,0.0
Session4_epoch:6_angry,0.0,0.0,0.0
Session4_epoch:6_surprise,0.0,0.0,0.0
Session4_epoch:6_disqust,0.0,0.0,0.0
Session4_epoch:6_sad,0.0,0.0,0.0
Session4_epoch:7_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:7_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:7_happy,0.0,0.0,0.0
Session4_epoch:7_angry,0.0,0.0,0.0
Session4_epoch:7_surprise,0.0,0.0,0.0
Session4_epoch:7_disqust,0.0,0.0,0.0
Session4_epoch:7_sad,0.0,0.0,0.0
Session4_epoch:8_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:8_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:8_happy,0.0,0.0,0.0
Session4_epoch:8_angry,0.0,0.0,0.0
Session4_epoch:8_surprise,0.0,0.0,0.0
Session4_epoch:8_disqust,0.0,0.0,0.0
Session4_epoch:8_sad,0.0,0.0,0.0
Session4_epoch:9_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:9_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:9_happy,0.0,0.0,0.0
Session4_epoch:9_angry,0.0,0.0,0.0
Session4_epoch:9_surprise,0.0,0.0,0.0
Session4_epoch:9_disqust,0.0,0.0,0.0
Session4_epoch:9_sad,0.0,0.0,0.0
Session4_epoch:10_TOTAL,0.6606441476826395,0.5824099722991689,0.7631578947368421
Session4_epoch:10_neutral,0.8656716417910448,0.7631578947368421,1.0
Session4_epoch:10_happy,0.0,0.0,0.0
Session4_epoch:10_angry,0.0,0.0,0.0
Session4_epoch:10_surprise,0.0,0.0,0.0
Session4_epoch:10_disqust,0.0,0.0,0.0
Session4_epoch:10_sad,0.0,0.0,0.0
Session5_epoch:1_TOTAL,0.5432098765432097,0.8148148148148148,0.4074074074074074
Session5_epoch:1_neutral,0.6111111111111109,0.9166666666666666,0.4583333333333333
Session5_epoch:1_happy,0.0,0.0,0.0
Session5_epoch:1_angry,0.0,0.0,0.0
Session5_epoch:1_surprise,0.0,0.0,0.0
Session5_epoch:1_disqust,0.0,0.0,0.0
Session5_epoch:1_sad,0.0,0.0,0.0
Session5_epoch:1_fear,0.0,0.0,0.0
Session5_epoch:2_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:2_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:2_happy,0.0,0.0,0.0
Session5_epoch:2_angry,0.0,0.0,0.0
Session5_epoch:2_surprise,0.0,0.0,0.0
Session5_epoch:2_disqust,0.0,0.0,0.0
Session5_epoch:2_sad,0.0,0.0,0.0
Session5_epoch:2_fear,0.0,0.0,0.0
Session5_epoch:3_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:3_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:3_happy,0.0,0.0,0.0
Session5_epoch:3_angry,0.0,0.0,0.0
Session5_epoch:3_surprise,0.0,0.0,0.0
Session5_epoch:3_disqust,0.0,0.0,0.0
Session5_epoch:3_sad,0.0,0.0,0.0
Session5_epoch:3_fear,0.0,0.0,0.0
Session5_epoch:4_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:4_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:4_happy,0.0,0.0,0.0
Session5_epoch:4_angry,0.0,0.0,0.0
Session5_epoch:4_surprise,0.0,0.0,0.0
Session5_epoch:4_disqust,0.0,0.0,0.0
Session5_epoch:4_sad,0.0,0.0,0.0
Session5_epoch:4_fear,0.0,0.0,0.0
Session5_epoch:5_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:5_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:5_happy,0.0,0.0,0.0
Session5_epoch:5_angry,0.0,0.0,0.0
Session5_epoch:5_surprise,0.0,0.0,0.0
Session5_epoch:5_disqust,0.0,0.0,0.0
Session5_epoch:5_sad,0.0,0.0,0.0
Session5_epoch:5_fear,0.0,0.0,0.0
Session5_epoch:6_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:6_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:6_happy,0.0,0.0,0.0
Session5_epoch:6_angry,0.0,0.0,0.0
Session5_epoch:6_surprise,0.0,0.0,0.0
Session5_epoch:6_disqust,0.0,0.0,0.0
Session5_epoch:6_sad,0.0,0.0,0.0
Session5_epoch:6_fear,0.0,0.0,0.0
Session5_epoch:7_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:7_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:7_happy,0.0,0.0,0.0
Session5_epoch:7_angry,0.0,0.0,0.0
Session5_epoch:7_surprise,0.0,0.0,0.0
Session5_epoch:7_disqust,0.0,0.0,0.0
Session5_epoch:7_sad,0.0,0.0,0.0
Session5_epoch:7_fear,0.0,0.0,0.0
Session5_epoch:8_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:8_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:8_happy,0.0,0.0,0.0
Session5_epoch:8_angry,0.0,0.0,0.0
Session5_epoch:8_surprise,0.0,0.0,0.0
Session5_epoch:8_disqust,0.0,0.0,0.0
Session5_epoch:8_sad,0.0,0.0,0.0
Session5_epoch:8_fear,0.0,0.0,0.0
Session5_epoch:9_TOTAL,0.8366013071895424,0.7901234567901234,0.8888888888888888
Session5_epoch:9_neutral,0.9411764705882352,0.8888888888888888,1.0
Session5_epoch:9_happy,0.0,0.0,0.0
Session5_epoch:9_angry,0.0,0.0,0.0
Session5_epoch:9_surprise,0.0,0.0,0.0
Session5_epoch:9_disqust,0.0,0.0,0.0
Session5_epoch:9_sad,0.0,0.0,0.0
